"Refs","Value","Footprint","Qty","DNP","Mouser PN","Datasheet"
"C1","10nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1","","77-VJ1206Y103JXAMP","https://www.vishay.com/docs/45199/vjcommercialseries.pdf"
"C2","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1","DNP","","~"
"D1","1N5711","Diode_SMD:Nexperia_CFP3_SOD-123W","1","","621-1N5711W-F","https://www.mouser.com/datasheet/3/175/1/1N5711W.pdf"
"J1","RF In","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","1","","737-RF101KD0050BKHDW ","https://www.mouser.com/datasheet/3/6015/1/rf1_01k_d_00_50_bk_hdw_data_sheet.pdf"
"J2","RF Out","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","1","","737-RF101KD0050BKHDW","https://www.mouser.com/datasheet/3/6015/1/rf1_01k_d_00_50_bk_hdw_data_sheet.pdf"
"R1","1K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","71-RCS12061K00FKEA","https://www.vishay.com/docs/20065/rcse3.pdf"
"R2","1K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","71-RCS12061K00FKEA","https://www.vishay.com/docs/20065/rcse3.pdf"
"R3","1K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","71-RCS12061K00FKEA","https://www.vishay.com/docs/20065/rcse3.pdf"
"R4","1K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","71-RCS12061K00FKEA","https://www.vishay.com/docs/20065/rcse3.pdf"
"R5","1K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","71-RCS12061K00FKEA","https://www.vishay.com/docs/20065/rcse3.pdf"
"R6","1K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","71-RCS12061K00FKEA","https://www.vishay.com/docs/20065/rcse3.pdf"
"R7","1K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","71-RCS12061K00FKEA","https://www.vishay.com/docs/20065/rcse3.pdf"
"R8","1K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","71-RCS12061K00FKEA","https://www.vishay.com/docs/20065/rcse3.pdf"
"R9","1K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","71-RCS12061K00FKEA","https://www.vishay.com/docs/20065/rcse3.pdf"
"R10","1K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","71-RCS12061K00FKEA","https://www.vishay.com/docs/20065/rcse3.pdf"
